appId,appName,catName,catCode,dplyDate,downCount,appPath,age,sellrUsrName,avgSscr,sellrUsrNo,preFlag
70238,Hulu,Entertainment,3,00:00.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20211004/36677783.png,0,"Disney Platform Distribution, Inc.",7.6,22939789,Y
70318,Netflix,Entertainment,3,00:00.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20161010/16804689.png,0,Netflix,7.7,22944020,Y
70480,Fandango at Home,Entertainment,3,00:00.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250306/38401056.png,0,Fandango,7.9,22944365,Y
95384,YouTube,Entertainment,3,00:00.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20171114/16977898.png,0,YouTube,7.8,22939200,Y
340303,Prime Video,Entertainment,3,34:16.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250220/38386093.png,0,Amazon,7.4,22939699,Y
449099,Sling TV,Entertainment,3,39:52.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20240405/38077778.png,0,Sling TV,6.7,22948381,Y
457877,Pluto TV,Entertainment,3,06:07.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20240925/38224473.png,0,Pluto TV,7.5,22942276,Y
464469,STARZ,Entertainment,3,20:22.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20220917/37578095.png,0,Starz Entertainment LLC,7.6,22939639,Y
957872,BritBox by BBC,Entertainment,3,58:05.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20240409/38080743.png,0,"BritBox, LLC",7.6,22940411,Y
963996,Disney+,Entertainment,3,59:33.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20240226/38047870.png,0,"Disney Platform Distribution, Inc.",8.2,22939789,Y
989161,Paramount+,Entertainment,3,47:16.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20210220/36023616.png,12,paramount,5.1,22939755,Y
990564,Apple TV,Entertainment,3,08:47.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20200117/34877588.png,0,Apple,7.6,22939192,Y
1004947,Twitch,Entertainment,3,26:01.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20220820/37494906.png,16,Twitch,7.5,22947418,Y
1039300,ShopTime,Life,4,27:40.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20200907/35543810.png,0,LG Electronics,6.7,22940286,Y
1098917,LG Fitness,Life,4,44:38.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20210725/36471954.png,16,LG Electronics,6.4,22945260,Y
1113013,Tubi: Free Movies & TV,Entertainment,3,32:27.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250210/38372689.png,0,"Tubi, Inc",7.6,22939860,Y
1203894,HBO Max,Entertainment,3,43:02.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250626/38527117.png,12,"WarnerMedia Global Digital Services, LLC",7.5,22939634,Y
1245684,LG Streaming Week,Entertainment,3,02:58.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250418/38452688.png,0,LG R&D,7.2,22945888,Y
1256145,LG Radio+,Entertainment,3,10:37.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250725/38560389.png,0,LG Electronics,6.6,22945260,Y
1258441,LG Gaming Portal,Game,2,18:57.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20250107/38325216.png,0,LG Electronics,7.4,22945260,Y
139,Buy Palace,Game,2,59:00.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/11_148x148.png,0,UANGEL,5.4,208,N
140,Natural Object,Game,2,25:23.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/7_148x148.png,0,UANGEL,4.2,208,N
141,Puzzle Game,Game,2,25:23.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/6_148x148.png,0,UANGEL,3.9,208,N
142,Shoot The Arrow,Game,2,14:04.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/5_148x148.png,0,UANGEL,3.6,208,N
143,Spot The Not,Game,2,47:49.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20161010/16802562.png,0,UANGEL,4,208,N
144,Fruit Puzzle,Game,2,14:04.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/9_148x148.png,0,UANGEL,3.6,208,N
145,Agent Sudoku,Game,2,37:33.0,0,http://ngfts.lge.com/fts/gftsDownload.lge?biz_code=APP_STORE&func_code=APP_ICON&file_path=/appstore/app/icon/20110308/12_148x148.png,0,UANGEL,3.5,208,N
